HadCOPD,AlcoholDrinkers,SmokerStatus,GeneralHealth,DifficultyWalking,HadDiabetes,HighBloodPressure,HadStroke,BlindOrVisionDifficulty,AgeCategory,HighCholesterol,HadKidneyDisease,Sex,HadAngina
-0.025706995,0.11462452,-0.16024213,0.39175496,-0.15923738,-0.14955266,-0.38591868,-0.123123035,-0.03122834,-1.6896954,-0.13540486,-0.035662822,0.31870311,-0.66361624
-0.035359193,0.1701045,-0.1920281,-0.7734047,-0.106377795,-0.051641047,-0.4174987,-0.108755425,-0.03412194,-0.879331,-0.0924522,-0.03085578,-0.37940493,-0.7277238
-0.03747119,0.098475985,0.562806,0.29671055,0.15511441,-0.09080257,0.20322424,-0.059022676,-0.03208036,-0.112630926,0.11485255,-0.04120554,-0.3523308,2.3213437
0.0059279697,0.13528463,0.43044117,0.5165113,0.09643307,-0.094930455,0.15950029,-0.089044854,-0.033285487,0.1178537,0.1215408,-0.018621176,0.2660394,-0.5032775
-0.028071305,-0.2035555,-0.24028014,-0.3741727,-0.12315574,-0.06318321,-0.38182232,-0.11430325,-0.031058723,-1.1415126,0.143794,-0.03072382,0.32749844,-0.69273376
-0.031243239,-0.19344462,-0.21052605,-0.42207164,-0.11839069,-0.08862873,-0.31481683,-0.10811294,-0.02745869,-1.0557731,-0.15191807,-0.027841276,0.28612334,-0.7248617
-0.042720992,-0.094177656,0.09825304,0.12401486,-0.08753319,-0.048946932,-0.34874073,-0.09892541,-0.022739515,-0.9237306,-0.12754865,-0.03820806,-0.27947745,-0.72685677
-0.017432572,0.24413928,-0.18771362,-0.38664195,-0.12488565,-0.12097939,0.44715407,-0.13352464,-0.031789716,-1.0094783,-0.18002598,-0.030600052,0.3226717,-0.63552934
0.30091774,0.060828794,0.061335925,0.7407447,0.21297532,-0.0585667,-0.2029567,0.8231883,-0.020001294,-0.29541612,0.062160406,-0.03555617,-0.33326116,-0.54575413
-0.037346236,0.1210605,-0.18876356,0.0916548,-0.08977597,-0.05476377,-0.3646402,-0.09716747,-0.024401007,-0.8025417,-0.11222209,-0.03260191,-0.3158243,-0.6931017
-0.031810366,-0.13223292,-0.24417861,0.10671094,-0.09846517,-0.05350353,-0.35250553,-0.12327794,-0.04067002,-1.023141,-0.13057067,-0.03253596,-0.31603914,-0.6704146
-0.016266406,-0.117255904,-0.20859985,-0.06546417,-0.14789239,-0.08540346,-0.45114776,-0.12072643,-0.044282,-1.717838,0.13765523,-0.031220183,0.2516506,-0.68720394
-0.028229238,0.07300194,-0.27252424,-0.30462784,-0.04586755,-0.06491188,0.21445395,-0.1035439,-0.015600862,0.39169574,0.09083283,-0.010264776,-0.45357552,-0.56524694
-0.026673052,-0.09906548,-0.23093165,-0.8162865,-0.05757997,-0.0724208,-0.35461718,-0.109406404,-0.019972093,0.37524435,0.09743057,-0.017561173,-0.46323416,-0.68018985
-0.047888864,-0.10117673,-0.21463662,0.021324147,0.38865483,-0.0990477,-0.2707603,-0.09204215,-0.022770857,-0.4020654,-0.08989703,-0.035496708,-0.3507237,-0.6434854
-0.021188077,0.105371624,-0.3472548,0.30971712,0.13948205,0.1668876,-0.0373,-0.062772885,-0.041603003,0.06762258,0.0014440937,0.23597123,-0.4099483,2.0861623
-0.014526924,0.06435647,-0.22383668,0.4445956,-0.04516918,-0.08831779,-0.20584944,-0.098083936,-0.008509531,0.32335165,-0.11609472,-0.027453555,-0.3939308,-0.578736
-0.030786475,-0.18756376,-0.19552048,-0.42448965,-0.1181838,-0.07476016,-0.3193304,-0.1080938,-0.023201723,-1.1316136,-0.14304131,-0.029586403,0.26016963,-0.72949713
-0.043516196,0.11683692,-0.23040886,0.043244172,-0.08091387,-0.07845039,-0.31848297,-0.08677154,-0.025387142,-0.6592827,-0.12679093,-0.026724163,-0.39066935,-0.68907887
-0.03347866,-0.13173185,-0.25029808,-0.4400149,-0.0810354,-0.058581766,0.40811586,-0.10659,-0.029830126,-0.8190288,0.14518012,-0.03371265,-0.3282063,-0.64918905
-0.029422438,-0.0854822,-0.25169995,-0.4104044,-0.04662687,-0.072487004,0.3094426,-0.111301206,-0.013258285,-0.054299563,0.14819533,-0.027853902,-0.3582018,-0.5941827
-0.005588901,0.026497377,0.09549975,0.42016947,-0.048806977,0.21976419,-0.16780972,0.8645131,0.005062694,0.33042178,-0.062545255,-0.019173035,0.37514472,-0.49998602
-0.043564226,0.06097046,0.43003199,0.71189797,0.3501379,-0.06850868,-0.30478907,-0.095115095,-0.044374775,-0.7044983,-0.096899346,-0.05773545,-0.26095945,-0.6188749
-0.0430769,-0.09918844,-0.2456041,0.04875153,-0.052516375,-0.06621281,-0.35690954,-0.089444116,-0.01811042,-0.41906616,0.1134495,-0.027783211,-0.35207376,-0.68799216
-0.024772989,-0.13285038,-0.24562904,0.026581509,-0.062323745,0.089324184,0.32002774,-0.10616692,-0.014575399,-0.31416395,0.13678735,-0.017576711,0.30651495,-0.6249954
-0.018990722,-0.06902255,0.1367272,0.03439294,-0.052133776,0.25215432,0.1927789,-0.09255383,-0.0051804744,0.3255194,0.112581365,-0.008978896,0.32560575,-0.53618187
0.06237876,-0.08389284,0.18857376,0.38684458,-0.038982116,-0.08388427,0.19269279,-0.10285914,-0.011543253,0.23349704,0.13939853,-0.018872632,0.25454524,-0.5337218
-0.036624637,0.07191825,-0.25055304,0.05779802,0.16657376,-0.085462086,0.1893124,-0.107012,-0.022923907,0.3016663,0.047882903,-0.010327594,-0.4136222,-0.5318667
-0.035341434,-0.14214705,-0.23542462,-0.3513456,-0.09451914,0.14953214,-0.1926255,-0.09317765,-0.020178773,-0.43347362,-0.13516434,-0.02640187,-0.3554444,-0.6968993
-0.03788284,-0.13196225,0.11255708,0.09651759,-0.09490597,-0.081886955,-0.3086977,-0.100631416,-0.02342856,-0.9748348,-0.14078416,-0.031057779,0.26771396,-0.7217289
-0.041918926,-0.12755424,-0.24377207,-0.37967548,-0.06935925,-0.063239336,-0.35672337,-0.088703096,-0.018068595,-0.43337438,0.12086602,-0.030008664,-0.355227,-0.7018356
-0.03423639,0.1363072,-0.20335598,0.03978585,-0.07597237,-0.10855522,-0.28560674,-0.08637304,-0.0104116015,-0.39652953,-0.13294208,-0.02595326,0.33602342,-0.67946357
-0.03432019,0.071226895,-0.2136279,0.049743056,0.28052485,0.31526566,0.21511494,-0.08863613,-0.026357513,0.028458975,-0.08354399,-0.02872039,-0.42496055,-0.5107422
-0.007911262,-0.0901203,-0.21886367,0.45804167,-0.051739883,-0.10609576,-0.23462208,-0.10649342,-0.0035342488,0.20581566,-0.14132358,-0.03107491,0.3348497,-0.59057146
